类别,子类别,任务,说明,工时（人/天）,计划开始时间,计划完成时间,负责人,进度（%）,状态,实际开始实际,实际完成时间,备注
驱动开发,R818平台适配,设备树配置,基于原理图配置全志R818设备树(DTS)，定义GPIO引脚、I2C/SPI/UART等外设资源,1,,,曾锦华,,,,,
,R818平台适配,内核裁剪与编译,裁剪Tina Linux内核，移除不需要的驱动模块，编译适配R818的内核镜像,3,,,曾锦华,,,,,
,显示驱动,DSI LCD驱动,开发8寸LCD DSI显示屏驱动，配置时序参数和背光控制,1,,,曾锦华,,,,,
,触摸驱动,GT9XX触摸屏驱动,适配GT9XX系列触摸屏控制器(I2C1接口),1,,,曾锦华,,,,,
,WiFi驱动,WiFi驱动,移植WiFi驱动,2,,,曾锦华,,,,,
,WiFi驱动,WiFi配置工具,开发WiFi连接管理工具，支持扫描、连接、断开等功能,2,,,曾锦华,,,,,
,存储管理,eMMC驱动,配置eMMC存储驱动，实现分区管理和文件系统,1,,,曾锦华,,,,,
,电源管理,AXP728A驱动,适配AXP728A电源管理IC驱动(I2C)，实现电压监测和电源控制,1,,,曾锦华,,,,,
,电源管理,休眠唤醒,实现系统休眠和触摸唤醒功能，配置休眠电源策略,1,,,曾锦华,,,,,
,GPIO控制,LED驱动,实现LED状态指示灯驱动，支持亮灭和闪烁控制,1,,,曾锦华,,,,,
,GPIO控制,蜂鸣器驱动,实现蜂鸣器驱动，支持鸣叫频率和时长控制,1,,,曾锦华,,,,,
,串口通信,调试串口,配置UART0调试串口，实现kernel和系统日志输出,1,,,曾锦华,,,,,
,串口通信,RS485驱动,配置UART1/2/3/4为RS485接口，用于Modbus通信,1,,,曾锦华,,,,,
后端开发,HTTP服务,libhv HTTP服务器,基于libhv搭建HTTP服务器，支持RESTful API,3,,,来智慧,,,,,
,HTTP服务,前端通信接口,实现与Flutter前端的双向JSON数据通信接口,2,,,来智慧,,,,,
,设备控制,设备状态管理,实现设备状态机管理，处理设备状态变化事件,2,,,来智慧,,,,,
,设备控制,控制指令处理,处理前端控制指令，转换为Modbus指令下发到设备,3,,,来智慧,,,,,
,设备控制,设备监控,实时监控设备运行状态，检测异常和故障,3,,,来智慧,,,,,
,设备控制,场景模式管理,实现智能场景模式（标准/会客/干爽/温润/旅行）,2,,,来智慧,,,,,
,数据采集,传感器数据管理,采集并缓存传感器数据，支持历史数据查询,2,,,来智慧,,,,,
,网络服务,libcurl网络请求,集成libcurl实现HTTP/HTTPS请求功能,2,,,来智慧,,,,,
,网络服务,天气数据获取,从天气API获取实时天气和预报数据,2,,,来智慧,,,,,
,网络服务,位置服务,获取设备地理位置信息,1,,,来智慧,,,,,
,系统服务,系统配置管理,管理系统配置参数，支持持久化存储,2,,,来智慧,,,,,
,系统服务,日志系统,实现日志记录和日志文件管理,2,,,来智慧,,,,,
,系统服务,时间同步,实现NTP时间同步,1,,,来智慧,,,,,
,系统服务,工程模式,实现工程模式调试接口和参数配置,3,,,来智慧,,,,,
前端开发,基础框架,项目初始化,创建Flutter项目，配置依赖项（intl/dio/redux/logger/sleek_circular_slider）,2,,,周会文,,,,,
,基础框架,多语言支持,使用intl实现中/英/日三种语言切换,3,,,周会文,,,,,
,基础框架,状态管理,使用Redux实现全局状态管理,2,,,周会文,,,,,
,基础框架,路由配置,配置页面路由和导航,2,,,周会文,,,,,
,基础框架,HTTP通信,使用dio封装HTTP客户端，与后端通信,3,,,周会文,,,,,
,基础框架,日志系统,使用logger实现日志记录功能,1,,,周会文,,,,,
,基础框架,自定义组件,开发通用UI组件（按钮、滑块、列表等）,2,,,周会文,,,,,
,待机页面,待机UI设计,实现01-Idle.png和02-Idle-unknown.png待机界面,2,,,吴宵,,,,,
,主页开发,主页基础UI,实现03-Home - normal.png主页面布局,3,,,曹华平,,,,,
,主页开发,WiFi状态显示,实现04-Home - wifi error.png WiFi错误提示,1,,,曹华平,,,,,
,主页开发,通知告警显示,实现05-Home - notice & alarm.png通知和告警,2,,,曹华平,,,,,
,主页开发,四功能卡片,实现06-07四功能（AC/FH）状态卡片,3,,,曹华平,,,,,
,主页开发,三功能卡片,实现08-Home - 3 basic function.png三功能卡片,2,,,曹华平,,,,,
,主页开发,通知列表,实现09-12主页通知列表展示,3,,,曹华平,,,,,
,主页开发,错误状态显示,实现13-15主页错误状态显示,2,,,曹华平,,,,,
,智能模式,标准模式UI,实现16-17智能模式-标准on/off界面,2,,,周会文,,,,,
,智能模式,会客模式UI,实现18智能模式-会客界面,1,,,周会文,,,,,
,智能模式,干爽模式UI,实现19智能模式-干爽界面,1,,,周会文,,,,,
,智能模式,温润模式UI,实现20智能模式-温润界面,1,,,周会文,,,,,
,智能模式,旅行模式UI,实现21智能模式-旅行界面,1,,,周会文,,,,,
,手动模式,空调控制UI,实现22-24手动模式-空调及调节界面,2,,,吴宵,,,,,
,手动模式,地暖控制UI,实现25-27手动模式-地暖（分区/统一）及调节界面,2,,,吴宵,,,,,
,手动模式,新风控制UI,实现28-30手动模式-新风及模式调节界面,3,,,吴宵,,,,,
,手动模式,调湿控制UI,实现31-32手动模式-调湿及off界面,2,,,吴宵,,,,,
,历史趋势,趋势页面框架,实现历史趋势页面基础布局和周期选择,3,,,曹华平,,,,,
,历史趋势,温度趋势图,实现33-36温度按日/周/月趋势图表,3,,,曹华平,,,,,
,历史趋势,湿度趋势图,实现37湿度按日趋势图表,2,,,曹华平,,,,,
,历史趋势,PM2.5趋势图,实现38 PM2.5按日趋势图表,2,,,曹华平,,,,,
,历史趋势,CO2趋势图,实现39 CO2按日趋势图表,2,,,曹华平,,,,,
,设置页面,系统设置UI,实现40-41设置-系统设置界面,3,,,周会文,,,,,
,设置页面,网络选择UI,实现42设置-网络选择界面,2,,,周会文,,,,,
,设置页面,工程模式UI,实现43-50设置-工程模式各界面,3,,,周会文,,,,,
,设置页面,设备维护UI,实现46设置-设备维护界面,2,,,周会文,,,,,
,交互逻辑,温度湿度调节,使用sleek_circular_slider实现温度湿度调节控件,3,,,吴宵,,,,,
,交互逻辑,模式切换,实现智能模式和手动模式切换逻辑,2,,,曹华平,,,,,
,交互逻辑,设备控制,实现发送设备控制指令到后端,3,,,周会文,,,,,
,交互逻辑,实时数据更新,实现接收后端推送的实时数据更新,3,,,吴宵,,,,,
,交互逻辑,错误处理,实现网络错误、设备错误等异常处理,2,,,曹华平,,,,,
,交互逻辑,通知提醒,实现通知提醒弹窗和提示,2,,,周会文,,,,,
测试,部署测试,功能回归测试,完整功能回归测试,3,,,-,,,,,
,部署测试,性能测试,系统性能和稳定性测试,3,,,-,,,,,
,部署测试,压力测试,长时间运行压力测试,2,,,-,,,,,
开发,bug修复,,,39.6,,,,,,,,
,,,,179.6,,,,,,,,
,,,,8.353488372,,,,,,,,